,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
0,0,6.52592658996582,0.9179027080535889,"tensor(0.1719, device='cuda:0')","tensor(0.4863, device='cuda:0')",0.022830842999610468
1,1,6.422878265380859,0.8268066048622131,"tensor(0.1613, device='cuda:0')","tensor(0.4834, device='cuda:0')",0.014390817999810679
2,2,6.332347393035889,0.7325854301452637,"tensor(0.1658, device='cuda:0')","tensor(0.4963, device='cuda:0')",0.014542939999955706
3,3,6.243733882904053,0.6705421209335327,"tensor(0.1659, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.014144165999823599
4,4,6.160710334777832,0.6121649146080017,"tensor(0.1695, device='cuda:0')","tensor(0.5117, device='cuda:0')",0.013881674998629023
5,5,6.076852798461914,0.5716479420661926,"tensor(0.1685, device='cuda:0')","tensor(0.4924, device='cuda:0')",0.014504587001283653
6,6,5.992595672607422,0.5337383151054382,"tensor(0.1658, device='cuda:0')","tensor(0.4878, device='cuda:0')",0.014206195999577176
7,7,5.9276123046875,0.5251972675323486,"tensor(0.1690, device='cuda:0')","tensor(0.4949, device='cuda:0')",0.013717914000153542
8,8,5.841405868530273,0.4881386458873749,"tensor(0.1613, device='cuda:0')","tensor(0.4934, device='cuda:0')",0.012711809999018442
9,9,5.764507293701172,0.4698077142238617,"tensor(0.1619, device='cuda:0')","tensor(0.4973, device='cuda:0')",0.012457767999876523
10,10,5.694421768188477,0.4554049074649811,"tensor(0.1660, device='cuda:0')","tensor(0.5127, device='cuda:0')",0.012551996000183863
11,11,5.626978874206543,0.44576090574264526,"tensor(0.1628, device='cuda:0')","tensor(0.4973, device='cuda:0')",0.012746528000207036
12,12,5.551487445831299,0.4284246563911438,"tensor(0.1587, device='cuda:0')","tensor(0.4951, device='cuda:0')",0.012452537999706692
13,13,5.489999771118164,0.4397585093975067,"tensor(0.1603, device='cuda:0')","tensor(0.4966, device='cuda:0')",0.012656816999879084
14,14,5.42824649810791,0.42122071981430054,"tensor(0.1607, device='cuda:0')","tensor(0.5112, device='cuda:0')",0.012331305000770953
15,15,5.370607376098633,0.4298449456691742,"tensor(0.1623, device='cuda:0')","tensor(0.4968, device='cuda:0')",0.012434545998985413
16,16,5.316042900085449,0.4272101819515228,"tensor(0.1592, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.012671649001276819
17,17,5.261906623840332,0.41367679834365845,"tensor(0.1546, device='cuda:0')","tensor(0.5129, device='cuda:0')",0.012847168998632696
18,18,5.212440490722656,0.40860840678215027,"tensor(0.1595, device='cuda:0')","tensor(0.5171, device='cuda:0')",0.012572969999382622
19,19,5.165189743041992,0.41666319966316223,"tensor(0.1553, device='cuda:0')","tensor(0.5117, device='cuda:0')",0.012294828000449343
20,20,5.120223522186279,0.405060738325119,"tensor(0.1550, device='cuda:0')","tensor(0.5000, device='cuda:0')",0.01250975900074991
21,21,5.078821182250977,0.41437187790870667,"tensor(0.1485, device='cuda:0')","tensor(0.4937, device='cuda:0')",0.012449676998585346
22,22,5.037308692932129,0.3973558247089386,"tensor(0.1510, device='cuda:0')","tensor(0.5095, device='cuda:0')",0.012560773000586778
23,23,5.002249717712402,0.3974793553352356,"tensor(0.1474, device='cuda:0')","tensor(0.5083, device='cuda:0')",0.012401935999150737
24,24,4.974742889404297,0.39922410249710083,"tensor(0.1472, device='cuda:0')","tensor(0.4993, device='cuda:0')",0.011847351999676903
25,25,4.955691814422607,0.3996095359325409,"tensor(0.1437, device='cuda:0')","tensor(0.5154, device='cuda:0')",0.011943035000513191
26,26,4.936681270599365,0.39016222953796387,"tensor(0.1445, device='cuda:0')","tensor(0.5144, device='cuda:0')",0.012132973999541719
27,27,4.914399147033691,0.37656137347221375,"tensor(0.1448, device='cuda:0')","tensor(0.5164, device='cuda:0')",0.012067156001648982
28,28,4.888017177581787,0.371830552816391,"tensor(0.1419, device='cuda:0')","tensor(0.5134, device='cuda:0')",0.011959418001424638
29,29,4.859856128692627,0.3703223466873169,"tensor(0.1510, device='cuda:0')","tensor(0.5085, device='cuda:0')",0.012092422000932856
30,30,4.829224586486816,0.37079229950904846,"tensor(0.1578, device='cuda:0')","tensor(0.5120, device='cuda:0')",0.012191698999231448
31,31,4.79502010345459,0.3684679865837097,"tensor(0.1602, device='cuda:0')","tensor(0.5122, device='cuda:0')",0.011691002000588924
32,32,4.763045310974121,0.3570557236671448,"tensor(0.1588, device='cuda:0')","tensor(0.4900, device='cuda:0')",0.01217426499897556
33,33,4.732740879058838,0.34552133083343506,"tensor(0.1664, device='cuda:0')","tensor(0.5227, device='cuda:0')",0.012305005999223795
34,34,4.697969913482666,0.338354229927063,"tensor(0.1630, device='cuda:0')","tensor(0.5017, device='cuda:0')",0.012042214000757667
35,35,4.652917861938477,0.3158929944038391,"tensor(0.1597, device='cuda:0')","tensor(0.4746, device='cuda:0')",0.012125232000471442
36,36,4.61605167388916,0.3011409044265747,"tensor(0.1661, device='cuda:0')","tensor(0.5032, device='cuda:0')",0.012178303999462514
