,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
0,0,1.0517246723175049,0.006134191062301397,"tensor(0.5524, device='cuda:0')","tensor(0.4934, device='cuda:0')",0.2902312010010064
1,1,1.0199614763259888,0.00565151683986187,"tensor(0.5264, device='cuda:0')","tensor(0.5054, device='cuda:0')",0.01433385400014231
2,2,0.9882413148880005,0.005565853323787451,"tensor(0.5461, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.015433751001182827
3,3,0.9557787179946899,0.005433653015643358,"tensor(0.5359, device='cuda:0')","tensor(0.4917, device='cuda:0')",0.015377232999526314
4,4,0.9284175634384155,0.005269785411655903,"tensor(0.5473, device='cuda:0')","tensor(0.5100, device='cuda:0')",0.015452555000592838
5,5,0.9125092029571533,0.005144324153661728,"tensor(0.5397, device='cuda:0')","tensor(0.5195, device='cuda:0')",0.013549130000683363
6,6,0.8986750841140747,0.005211846437305212,"tensor(0.5426, device='cuda:0')","tensor(0.5012, device='cuda:0')",0.014667213999928208
7,7,0.8716950416564941,0.005182125139981508,"tensor(0.5436, device='cuda:0')","tensor(0.4949, device='cuda:0')",0.014705399999002111
8,8,0.8560908436775208,0.005188083276152611,"tensor(0.5398, device='cuda:0')","tensor(0.5112, device='cuda:0')",0.014863241000057315
9,9,0.8355642557144165,0.005241036880761385,"tensor(0.5525, device='cuda:0')","tensor(0.5110, device='cuda:0')",0.015278834000127972
10,10,0.8349788188934326,0.00563322938978672,"tensor(0.5514, device='cuda:0')","tensor(0.5142, device='cuda:0')",0.015078341000844375
11,11,0.8314791917800903,0.006369283888489008,"tensor(0.5500, device='cuda:0')","tensor(0.5322, device='cuda:0')",0.014550994999808609
12,12,0.7989235520362854,0.0068420409224927425,"tensor(0.4181, device='cuda:0')","tensor(0.5244, device='cuda:0')",0.014268851000451832
13,13,0.7861840724945068,0.007018251810222864,"tensor(0.4851, device='cuda:0')","tensor(0.5105, device='cuda:0')",0.015032494999104529
14,14,0.7257012724876404,0.006262846756726503,"tensor(0.6223, device='cuda:0')","tensor(0.5129, device='cuda:0')",0.015578635999190737
15,15,0.6571117639541626,0.005363544449210167,"tensor(0.6629, device='cuda:0')","tensor(0.5000, device='cuda:0')",0.01511906200175872
16,16,0.6160327196121216,0.004680716898292303,"tensor(0.6767, device='cuda:0')","tensor(0.5081, device='cuda:0')",0.016457927000374184
17,17,0.6049636602401733,0.004174378700554371,"tensor(0.6277, device='cuda:0')","tensor(0.4917, device='cuda:0')",0.014581486000679433
18,18,0.5863473415374756,0.0039535402320325375,"tensor(0.6315, device='cuda:0')","tensor(0.5137, device='cuda:0')",0.015169184998740093
19,19,0.5807894468307495,0.0036382190883159637,"tensor(0.6228, device='cuda:0')","tensor(0.5056, device='cuda:0')",0.015299205000701477
20,20,0.5564131736755371,0.003572385525330901,"tensor(0.6492, device='cuda:0')","tensor(0.4998, device='cuda:0')",0.01682045199959248
21,21,0.549268901348114,0.0034170912113040686,"tensor(0.6230, device='cuda:0')","tensor(0.4995, device='cuda:0')",0.013032676999500836
22,22,0.5292649269104004,0.0033422524575144053,"tensor(0.6164, device='cuda:0')","tensor(0.4910, device='cuda:0')",0.01391105999937281
23,23,0.5229877233505249,0.003232831135392189,"tensor(0.6079, device='cuda:0')","tensor(0.4961, device='cuda:0')",0.01414314999965427
24,24,0.5065077543258667,0.003150657285004854,"tensor(0.5995, device='cuda:0')","tensor(0.4905, device='cuda:0')",0.014136839999991935
25,25,0.49267321825027466,0.0030950054060667753,"tensor(0.6201, device='cuda:0')","tensor(0.4980, device='cuda:0')",0.015230326000164496
26,26,0.489071249961853,0.002899848623201251,"tensor(0.6010, device='cuda:0')","tensor(0.4890, device='cuda:0')",0.015457304998562904
27,27,0.46940433979034424,0.002849769778549671,"tensor(0.6104, device='cuda:0')","tensor(0.4924, device='cuda:0')",0.01660358799927053
28,28,0.46018290519714355,0.0027585122734308243,"tensor(0.5975, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.014490236999336048
29,29,0.4447592496871948,0.0026850267313420773,"tensor(0.6136, device='cuda:0')","tensor(0.4915, device='cuda:0')",0.01606887900015863
30,30,0.4338281750679016,0.0026522621046751738,"tensor(0.5942, device='cuda:0')","tensor(0.4895, device='cuda:0')",0.015039940999486134
31,31,0.42301687598228455,0.002495531225576997,"tensor(0.6112, device='cuda:0')","tensor(0.4995, device='cuda:0')",0.015102031000424176
32,32,0.4111909866333008,0.0024873800575733185,"tensor(0.6108, device='cuda:0')","tensor(0.4861, device='cuda:0')",0.013112190999891027
33,33,0.4058529734611511,0.002397606149315834,"tensor(0.6084, device='cuda:0')","tensor(0.5044, device='cuda:0')",0.015913599998384598
34,34,0.39007291197776794,0.002319217659533024,"tensor(0.6089, device='cuda:0')","tensor(0.5034, device='cuda:0')",0.01773898899955384
35,35,0.3834249675273895,0.002278458559885621,"tensor(0.6056, device='cuda:0')","tensor(0.4866, device='cuda:0')",0.01829050400010601
36,36,0.3707660138607025,0.0022039643954485655,"tensor(0.6153, device='cuda:0')","tensor(0.5007, device='cuda:0')",0.01393771199946059
37,37,0.36413756012916565,0.0021303119137883186,"tensor(0.6022, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.015995114999896032
38,38,0.3579952120780945,0.0020593786612153053,"tensor(0.6062, device='cuda:0')","tensor(0.5073, device='cuda:0')",0.015122838998649968
39,39,0.34699663519859314,0.0020053458865731955,"tensor(0.5932, device='cuda:0')","tensor(0.4985, device='cuda:0')",0.01662303500052076
40,40,0.33810412883758545,0.0019486838718876243,"tensor(0.5715, device='cuda:0')","tensor(0.4988, device='cuda:0')",0.016047896000600304
41,41,0.329693078994751,0.001881785225123167,"tensor(0.6058, device='cuda:0')","tensor(0.5005, device='cuda:0')",0.016494724999574828
42,42,0.31988051533699036,0.0018462090520188212,"tensor(0.6056, device='cuda:0')","tensor(0.5134, device='cuda:0')",0.016826447999847005
43,43,0.31506532430648804,0.0017808227567002177,"tensor(0.5992, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.015058785000292119
44,44,0.30620935559272766,0.0017664317274466157,"tensor(0.6153, device='cuda:0')","tensor(0.5151, device='cuda:0')",0.016408808000051067
