,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
0,0,3.261653423309326,0.5696479082107544,"tensor(0.2430, device='cuda:0')","tensor(0.4841, device='cuda:0')",0.04104356500101858
1,1,3.2111551761627197,0.502070426940918,"tensor(0.2384, device='cuda:0')","tensor(0.4824, device='cuda:0')",0.012434222997399047
2,2,3.1613383293151855,0.46117687225341797,"tensor(0.2435, device='cuda:0')","tensor(0.4971, device='cuda:0')",0.011692722000589129
3,3,3.113853931427002,0.43505534529685974,"tensor(0.2491, device='cuda:0')","tensor(0.5029, device='cuda:0')",0.012092164997739019
4,4,3.0542688369750977,0.3849286735057831,"tensor(0.2494, device='cuda:0')","tensor(0.5103, device='cuda:0')",0.012892771999759134
5,5,2.993380546569824,0.37785303592681885,"tensor(0.2406, device='cuda:0')","tensor(0.5044, device='cuda:0')",0.011973759999818867
6,6,2.9477145671844482,0.35440078377723694,"tensor(0.2471, device='cuda:0')","tensor(0.4941, device='cuda:0')",0.012274559001525631
7,7,2.900012493133545,0.33854395151138306,"tensor(0.2471, device='cuda:0')","tensor(0.4958, device='cuda:0')",0.01226808299907134
8,8,2.844637870788574,0.32069990038871765,"tensor(0.2433, device='cuda:0')","tensor(0.4929, device='cuda:0')",0.012254388002475025
9,9,2.806304454803467,0.30812323093414307,"tensor(0.2424, device='cuda:0')","tensor(0.5005, device='cuda:0')",0.012405212000885513
10,10,2.7509191036224365,0.3046942353248596,"tensor(0.2535, device='cuda:0')","tensor(0.5173, device='cuda:0')",0.012185199997475138
11,11,2.7095212936401367,0.2910754382610321,"tensor(0.2474, device='cuda:0')","tensor(0.4976, device='cuda:0')",0.012351707002380863
12,12,2.6661272048950195,0.27553418278694153,"tensor(0.2509, device='cuda:0')","tensor(0.5044, device='cuda:0')",0.012567181998747401
13,13,2.6187386512756348,0.26910170912742615,"tensor(0.2454, device='cuda:0')","tensor(0.4946, device='cuda:0')",0.011548417001904454
14,14,2.58103609085083,0.2645431160926819,"tensor(0.2489, device='cuda:0')","tensor(0.5037, device='cuda:0')",0.012435826996807009
15,15,2.540959358215332,0.2602115273475647,"tensor(0.2564, device='cuda:0')","tensor(0.5071, device='cuda:0')",0.012277482001081808
16,16,2.5043325424194336,0.2521427273750305,"tensor(0.2552, device='cuda:0')","tensor(0.5039, device='cuda:0')",0.011385626999981469
17,17,2.4657609462738037,0.25590839982032776,"tensor(0.2521, device='cuda:0')","tensor(0.5042, device='cuda:0')",0.01252243199996883
18,18,2.4313483238220215,0.2521964907646179,"tensor(0.2500, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.011496281000290764
19,19,2.3974099159240723,0.24388815462589264,"tensor(0.2492, device='cuda:0')","tensor(0.4844, device='cuda:0')",0.012001057002635207
20,20,2.36422061920166,0.2459493726491928,"tensor(0.2532, device='cuda:0')","tensor(0.4895, device='cuda:0')",0.011745422998501454
21,21,2.340437889099121,0.24309729039669037,"tensor(0.2528, device='cuda:0')","tensor(0.4995, device='cuda:0')",0.011808066999947187
22,22,2.3013176918029785,0.2485542744398117,"tensor(0.2534, device='cuda:0')","tensor(0.4956, device='cuda:0')",0.011670788000628818
23,23,2.2750720977783203,0.24468368291854858,"tensor(0.2522, device='cuda:0')","tensor(0.4978, device='cuda:0')",0.011653117999230744
24,24,2.2482573986053467,0.2442745417356491,"tensor(0.2582, device='cuda:0')","tensor(0.5061, device='cuda:0')",0.011784395999711705
25,25,2.221775531768799,0.2481841892004013,"tensor(0.2525, device='cuda:0')","tensor(0.5105, device='cuda:0')",0.012353197002084926
26,26,2.194990634918213,0.24431687593460083,"tensor(0.2485, device='cuda:0')","tensor(0.4800, device='cuda:0')",0.011338230997353094
27,27,2.1685218811035156,0.24326635897159576,"tensor(0.2457, device='cuda:0')","tensor(0.4890, device='cuda:0')",0.011640660999546526
28,28,2.1438913345336914,0.24243110418319702,"tensor(0.2541, device='cuda:0')","tensor(0.5046, device='cuda:0')",0.011728845001925947
29,29,2.1224732398986816,0.24190331995487213,"tensor(0.2506, device='cuda:0')","tensor(0.4927, device='cuda:0')",0.012074274000042351
30,30,2.093827724456787,0.24753502011299133,"tensor(0.2510, device='cuda:0')","tensor(0.4941, device='cuda:0')",0.012142994000896579
31,31,2.068065881729126,0.24816420674324036,"tensor(0.2489, device='cuda:0')","tensor(0.5005, device='cuda:0')",0.011460743000498042
32,32,2.0426082611083984,0.2524634599685669,"tensor(0.2536, device='cuda:0')","tensor(0.4939, device='cuda:0')",0.01160093699945719
33,33,2.033784866333008,0.2507213056087494,"tensor(0.2544, device='cuda:0')","tensor(0.5000, device='cuda:0')",0.011720493999746395
34,34,2.0122017860412598,0.24622012674808502,"tensor(0.2504, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.011880142999871168
35,35,1.993032693862915,0.2453942596912384,"tensor(0.2484, device='cuda:0')","tensor(0.4893, device='cuda:0')",0.011775516999477986
36,36,1.9734992980957031,0.24378523230552673,"tensor(0.2516, device='cuda:0')","tensor(0.4983, device='cuda:0')",0.011655455997242825
37,37,1.9544975757598877,0.2429223507642746,"tensor(0.2520, device='cuda:0')","tensor(0.5083, device='cuda:0')",0.01140072400085046
38,38,1.9450130462646484,0.2469407320022583,"tensor(0.2575, device='cuda:0')","tensor(0.5117, device='cuda:0')",0.01183949199912604
39,39,1.923498272895813,0.24409908056259155,"tensor(0.2526, device='cuda:0')","tensor(0.4958, device='cuda:0')",0.011231145999772707
40,40,1.908676266670227,0.24287866055965424,"tensor(0.2486, device='cuda:0')","tensor(0.5044, device='cuda:0')",0.011358734998793807
41,41,1.8968840837478638,0.24782387912273407,"tensor(0.2514, device='cuda:0')","tensor(0.4966, device='cuda:0')",0.012053180998918833
42,42,1.8825862407684326,0.24541166424751282,"tensor(0.2577, device='cuda:0')","tensor(0.5044, device='cuda:0')",0.011229340001591481
43,43,1.8687100410461426,0.24726182222366333,"tensor(0.2443, device='cuda:0')","tensor(0.4897, device='cuda:0')",0.011327872001857031
44,44,1.8522316217422485,0.2530829608440399,"tensor(0.2561, device='cuda:0')","tensor(0.5029, device='cuda:0')",0.011285708998912014
45,45,1.8346829414367676,0.2543291449546814,"tensor(0.2527, device='cuda:0')","tensor(0.4946, device='cuda:0')",0.011507045997859677
46,46,1.8189505338668823,0.24851489067077637,"tensor(0.2605, device='cuda:0')","tensor(0.5144, device='cuda:0')",0.011773123998864321
47,47,1.817457914352417,0.25277161598205566,"tensor(0.2529, device='cuda:0')","tensor(0.5046, device='cuda:0')",0.011398522001400124
48,48,1.8089196681976318,0.25095635652542114,"tensor(0.2536, device='cuda:0')","tensor(0.4998, device='cuda:0')",0.011471284997242037
49,49,1.7957797050476074,0.252999871969223,"tensor(0.2570, device='cuda:0')","tensor(0.5051, device='cuda:0')",0.0118040369998198
50,50,1.7853729724884033,0.24690033495426178,"tensor(0.2511, device='cuda:0')","tensor(0.4966, device='cuda:0')",0.011502207999001257
51,51,1.7756778001785278,0.24865248799324036,"tensor(0.2549, device='cuda:0')","tensor(0.5078, device='cuda:0')",0.011610019999352517
52,52,1.758122444152832,0.24953477084636688,"tensor(0.2457, device='cuda:0')","tensor(0.5115, device='cuda:0')",0.011502787998324493
53,53,1.755172610282898,0.2528069317340851,"tensor(0.2546, device='cuda:0')","tensor(0.4990, device='cuda:0')",0.011472466998384334
54,54,1.7440681457519531,0.2552848756313324,"tensor(0.2619, device='cuda:0')","tensor(0.5088, device='cuda:0')",0.011774400998547208
55,55,1.7331020832061768,0.2550475001335144,"tensor(0.2558, device='cuda:0')","tensor(0.5063, device='cuda:0')",0.01147534700066899
56,56,1.7255297899246216,0.2530040740966797,"tensor(0.2478, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.011444220999692334
57,57,1.7075163125991821,0.2570752501487732,"tensor(0.2594, device='cuda:0')","tensor(0.4907, device='cuda:0')",0.01186293900173041
