,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,1.9362138509750366,-0.46651729941368103,5.533653259277344,-12.193542073596717,0.3389344811439514,"tensor(0.5125, device='cuda:0')",0.1053956889991241
1,1,2.0003175735473633,-0.5291924476623535,5.433708190917969,-12.193542073596717,0.33564502000808716,"tensor(0.5022, device='cuda:0')",0.08763863100102753
2,2,1.9008010625839233,-0.5282273888587952,5.334629058837891,-12.193542073596717,0.3381580412387848,"tensor(0.5154, device='cuda:0')",0.07772716099862009
3,3,1.847586989402771,-0.5008681416511536,5.309991359710693,-12.193542073596717,0.3245643973350525,"tensor(0.4973, device='cuda:0')",0.06803254199985531
4,4,1.9299625158309937,-0.5618468523025513,5.413276672363281,-12.193542073596717,0.31864088773727417,"tensor(0.4983, device='cuda:0')",0.06857195300108287
5,5,1.9317402839660645,-0.6014255285263062,5.299045085906982,-12.193542073596717,0.31587648391723633,"tensor(0.5015, device='cuda:0')",0.06863785699897562
6,6,1.942102313041687,-0.6773903369903564,5.33597469329834,-12.193542073596717,0.32440224289894104,"tensor(0.5002, device='cuda:0')",0.06926038199890172
7,7,1.7599385976791382,-0.630515992641449,5.327078342437744,-12.193542073596717,0.32140177488327026,"tensor(0.4954, device='cuda:0')",0.06777071900069132
8,8,2.0679314136505127,-0.6042637825012207,5.447247505187988,-12.193542073596717,0.33678877353668213,"tensor(0.5034, device='cuda:0')",0.06767980500080739
9,9,1.863818883895874,-0.5650976300239563,5.31587553024292,-12.193542073596717,0.327919065952301,"tensor(0.4983, device='cuda:0')",0.0682036039979721
10,10,1.6690542697906494,-0.46649283170700073,5.222343444824219,-12.193542073596717,0.32722657918930054,"tensor(0.4932, device='cuda:0')",0.06832029599900125
11,11,1.8895001411437988,-0.6927762031555176,5.33446741104126,-12.193542073596717,0.3231739103794098,"tensor(0.5049, device='cuda:0')",0.06827420699846698
12,12,1.8052598237991333,-0.6129435300827026,5.404857635498047,-12.193542073596717,0.3181452751159668,"tensor(0.4780, device='cuda:0')",0.06811584699971718
13,13,1.882946252822876,-0.5993760824203491,5.318486213684082,-12.193542073596717,0.3199986517429352,"tensor(0.4924, device='cuda:0')",0.06840238199947635
14,14,1.6505584716796875,-0.6380593776702881,5.322669506072998,-12.193542073596717,0.3278818726539612,"tensor(0.5037, device='cuda:0')",0.06868895799925667
15,15,1.9171907901763916,-0.877333402633667,5.479727268218994,-12.193542073596717,0.31802597641944885,"tensor(0.4998, device='cuda:0')",0.06822122699668398
16,16,1.73469877243042,-0.7861608266830444,5.3541789054870605,-12.193542073596717,0.3314986228942871,"tensor(0.5171, device='cuda:0')",0.06787043199801701
