,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,2.167834758758545,-11.563665390014648,7.1577982902526855,18.0,0.16389501094818115,"tensor(0.5105, device='cuda:0')",0.1285758390004048
1,1,1.4734950065612793,-11.425045013427734,7.100028991699219,18.0,0.15563879907131195,"tensor(0.5105, device='cuda:0')",0.1092235169999185
2,2,1.460646152496338,-11.608871459960938,7.088144779205322,18.0,0.15674743056297302,"tensor(0.5020, device='cuda:0')",0.1092191930001718
3,3,1.4839205741882324,-11.557867050170898,7.1361494064331055,18.0,0.15256890654563904,"tensor(0.4917, device='cuda:0')",0.10822813199774828
4,4,1.4500319957733154,-11.687150001525879,7.077058792114258,18.0,0.1562265157699585,"tensor(0.5000, device='cuda:0')",0.10912247400119668
5,5,1.5881052017211914,-11.647512435913086,7.058075904846191,18.0,0.1557799130678177,"tensor(0.5083, device='cuda:0')",0.10914156500075478
6,6,1.7793500423431396,-11.884004592895508,7.158973217010498,18.0,0.15519900619983673,"tensor(0.5051, device='cuda:0')",0.109424633999879
7,7,1.5434104204177856,-11.822620391845703,7.267385959625244,18.0,0.15273690223693848,"tensor(0.5010, device='cuda:0')",0.10984943800212932
8,8,1.2620396614074707,-11.902854919433594,6.987857818603516,18.0,0.15263570845127106,"tensor(0.5046, device='cuda:0')",0.10904314599974896
9,9,1.333023190498352,-11.837905883789062,6.994775772094727,18.0,0.15545965731143951,"tensor(0.5044, device='cuda:0')",0.10966838500098675
10,10,1.162251353263855,-12.101914405822754,7.0105085372924805,18.0,0.15183888375759125,"tensor(0.5000, device='cuda:0')",0.10932654700081912
11,11,1.3298325538635254,-12.099392890930176,7.087278842926025,18.0,0.15217192471027374,"tensor(0.4900, device='cuda:0')",0.10973928400198929
12,12,1.280693531036377,-12.262893676757812,7.051297664642334,18.0,0.15203061699867249,"tensor(0.5061, device='cuda:0')",0.10994468799981405
13,13,1.2039144039154053,-12.097029685974121,6.8356475830078125,18.0,0.15028339624404907,"tensor(0.5142, device='cuda:0')",0.10933583500082023
14,14,1.2994277477264404,-12.402942657470703,6.941466331481934,18.0,0.14594745635986328,"tensor(0.5129, device='cuda:0')",0.10992680199706228
15,15,1.003197431564331,-12.52903938293457,7.012520790100098,18.0,0.14433811604976654,"tensor(0.5042, device='cuda:0')",0.10880719600027078
16,16,0.853771448135376,-12.720999717712402,6.884206771850586,18.0,0.14159755408763885,"tensor(0.5015, device='cuda:0')",0.10954674599997816
17,17,1.0358259677886963,-12.79451847076416,7.129741668701172,18.0,0.1439482867717743,"tensor(0.5198, device='cuda:0')",0.10953736300143646
18,18,1.1452786922454834,-13.014372825622559,7.330583572387695,18.0,0.13923880457878113,"tensor(0.5017, device='cuda:0')",0.11072661599973799
19,19,0.6485562324523926,-12.921089172363281,7.230711936950684,18.0,0.1407339721918106,"tensor(0.5068, device='cuda:0')",0.109031378000509
20,20,1.11802077293396,-13.07269287109375,7.39849853515625,18.0,0.13337118923664093,"tensor(0.5002, device='cuda:0')",0.10990108799887821
21,21,0.9948029518127441,-13.189820289611816,7.393005847930908,18.0,0.13038146495819092,"tensor(0.4958, device='cuda:0')",0.10904567999750725
