,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,1.992489269761696,-0.5076931578080055,5.324971816014298,-12.193542073596717,0.33570676171272923,"tensor(0.5090, device='cuda:0', dtype=torch.float32)",0.4043564369985688
1,1,1.7069489465586978,-0.4167354394779484,5.333794316563354,-12.193542073596717,0.32664563921336587,"tensor(0.5002, device='cuda:0', dtype=torch.float32)",0.3342101590005768
2,2,2.0115293264172935,-0.5324103547620064,5.361707054164228,-12.193542073596717,0.3192299620824398,"tensor(0.4934, device='cuda:0', dtype=torch.float32)",0.3275806229994487
3,3,1.6634457394392257,-0.3573665628392144,5.3152135277232455,-12.193542073596717,0.3411177421227262,"tensor(0.5273, device='cuda:0', dtype=torch.float32)",0.3334927699997934
4,4,1.9668155790216741,-0.5606407080190163,5.380062596791942,-12.193542073596717,0.32192855097511647,"tensor(0.4871, device='cuda:0', dtype=torch.float32)",0.32843592500103114
5,5,2.0560678419596883,-0.54628791895143,5.404975741107822,-12.193542073596717,0.3207045591050798,"tensor(0.4966, device='cuda:0', dtype=torch.float32)",0.33454918600000383
6,6,1.9700676382600766,-0.4885084956343858,5.387870054033553,-12.193542073596717,0.3309986805899166,"tensor(0.5002, device='cuda:0', dtype=torch.float32)",0.33023132999915106
7,7,1.677903231877816,-0.4732543922791497,5.275830385837131,-12.193542073596717,0.3289679822145245,"tensor(0.4927, device='cuda:0', dtype=torch.float32)",0.3348370760013495
8,8,1.7064461394964552,-0.5419942371979825,5.362027065190566,-12.193542073596717,0.34220596513686125,"tensor(0.5103, device='cuda:0', dtype=torch.float32)",0.3314077239992912
9,9,1.5756509093276718,-0.5044850652946204,5.310766951524162,-12.193542073596717,0.3258389444988724,"tensor(0.4937, device='cuda:0', dtype=torch.float32)",0.33051218400032667
10,10,1.7382944518691832,-0.5844218263210166,5.390171071314885,-12.193542073596717,0.330053523706727,"tensor(0.4949, device='cuda:0', dtype=torch.float32)",0.3317895750005846
11,11,1.6780703112785902,-0.5863240687903867,5.317907111867542,-12.193542073596717,0.3252855799530814,"tensor(0.4956, device='cuda:0', dtype=torch.float32)",0.32928112800072995
