,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,0.8475878834724426,3.820911407470703,2.6535654067993164,1.1113977458415887,0.32837364077568054,"tensor(0.4922, device='cuda:0')",0.14195899799960898
1,1,0.927385151386261,3.806614398956299,2.662618398666382,1.1113977458415887,0.3164350390434265,"tensor(0.4771, device='cuda:0')",0.09176198999921326
2,2,0.8792094588279724,3.7227935791015625,2.6594228744506836,1.1113977458415887,0.32826149463653564,"tensor(0.5054, device='cuda:0')",0.07934584699978586
3,3,0.8659061193466187,3.779820442199707,2.6446990966796875,1.1113977458415887,0.3267909586429596,"tensor(0.4912, device='cuda:0')",0.07108503900235519
4,4,1.0571706295013428,3.7520127296447754,2.726712465286255,1.1113977458415887,0.3280520439147949,"tensor(0.5068, device='cuda:0')",0.07052377100262675
5,5,0.8587160706520081,3.8109445571899414,2.6942355632781982,1.1113977458415887,0.32704827189445496,"tensor(0.5029, device='cuda:0')",0.07867895000163116
6,6,0.9083051085472107,3.7038726806640625,2.7171497344970703,1.1113977458415887,0.3318895995616913,"tensor(0.4973, device='cuda:0')",0.07058533699819236
7,7,0.8460613489151001,3.7517306804656982,2.650411367416382,1.1113977458415887,0.32698920369148254,"tensor(0.4915, device='cuda:0')",0.06977264499801095
8,8,0.8624287843704224,3.6761136054992676,2.6808245182037354,1.1113977458415887,0.3317970335483551,"tensor(0.5054, device='cuda:0')",0.0726731690010638
9,9,0.993350625038147,3.702214002609253,2.6680972576141357,1.1113977458415887,0.3259831368923187,"tensor(0.5061, device='cuda:0')",0.07041082000068855
10,10,0.862093448638916,3.6734061241149902,2.680814266204834,1.1113977458415887,0.32615232467651367,"tensor(0.4988, device='cuda:0')",0.06985376399825327
11,11,1.033069133758545,3.568093776702881,2.718905448913574,1.1113977458415887,0.3275620937347412,"tensor(0.4934, device='cuda:0')",0.06967086199801997
12,12,0.8565562963485718,3.678905963897705,2.648333787918091,1.1113977458415887,0.31853991746902466,"tensor(0.4924, device='cuda:0')",0.06977288299822249
13,13,0.8535330295562744,3.702176332473755,2.650007963180542,1.1113977458415887,0.3240678310394287,"tensor(0.5012, device='cuda:0')",0.06954808199952822
14,14,0.8110824227333069,3.6763031482696533,2.6342406272888184,1.1113977458415887,0.3265233039855957,"tensor(0.5154, device='cuda:0')",0.06909413899848005
15,15,0.8696827292442322,3.583892822265625,2.6602840423583984,1.1113977458415887,0.3168604075908661,"tensor(0.4922, device='cuda:0')",0.07055519200002891
16,16,0.9499693512916565,3.6092052459716797,2.654271125793457,1.1113977458415887,0.3247267007827759,"tensor(0.5024, device='cuda:0')",0.06999997900129529
17,17,0.9581977128982544,3.6413354873657227,2.6112120151519775,1.1113977458415887,0.3210172653198242,"tensor(0.5149, device='cuda:0')",0.06903420799790183
18,18,0.8469945192337036,3.606651782989502,2.634324073791504,1.1113977458415887,0.3285108208656311,"tensor(0.5137, device='cuda:0')",0.06992911999986973
19,19,0.8525171279907227,3.6232218742370605,2.636029005050659,1.1113977458415887,0.3298441469669342,"tensor(0.5007, device='cuda:0')",0.07052619100068114
20,20,0.9363123774528503,3.5235133171081543,2.710458755493164,1.1113977458415887,0.3274214267730713,"tensor(0.5020, device='cuda:0')",0.07067520300188335
21,21,0.8989529609680176,3.559216022491455,2.637507677078247,1.1113977458415887,0.32473063468933105,"tensor(0.5071, device='cuda:0')",0.07060637199901976
22,22,0.8615490794181824,3.5214009284973145,2.64613938331604,1.1113977458415887,0.32127171754837036,"tensor(0.4951, device='cuda:0')",0.06947620999926585
23,23,0.9356456398963928,3.5583481788635254,2.6725404262542725,1.1113977458415887,0.32081398367881775,"tensor(0.5100, device='cuda:0')",0.06958224900154164
24,24,0.9129667282104492,3.4675827026367188,2.692983865737915,1.1113977458415887,0.32138529419898987,"tensor(0.4954, device='cuda:0')",0.07141043799856561
25,25,0.8652800917625427,3.5660147666931152,2.6597466468811035,1.1113977458415887,0.3287297487258911,"tensor(0.5139, device='cuda:0')",0.07059631800075294
26,26,0.9116088151931763,3.4890213012695312,2.664469003677368,1.1113977458415887,0.3224031627178192,"tensor(0.4917, device='cuda:0')",0.06948819199897116
27,27,0.8099198341369629,3.532341718673706,2.633559465408325,1.1113977458415887,0.3062114119529724,"tensor(0.4802, device='cuda:0')",0.07043942800009972
28,28,0.7636788487434387,3.5330238342285156,2.626086473464966,1.1113977458415887,0.3229868710041046,"tensor(0.5195, device='cuda:0')",0.06923577099951217
29,29,0.8291552066802979,3.432809352874756,2.634782314300537,1.1113977458415887,0.32328951358795166,"tensor(0.4946, device='cuda:0')",0.06976170800044201
30,30,1.0184295177459717,3.3788905143737793,2.6747994422912598,1.1113977458415887,0.32050246000289917,"tensor(0.4927, device='cuda:0')",0.07013674300105777
31,31,0.8991725444793701,3.3930160999298096,2.6289520263671875,1.1113977458415887,0.32866212725639343,"tensor(0.5071, device='cuda:0')",0.0714100650002365
32,32,0.7797446250915527,3.4603731632232666,2.5898165702819824,1.1113977458415887,0.32080531120300293,"tensor(0.4934, device='cuda:0')",0.0702896820002934
33,33,0.7448440790176392,3.421835422515869,2.6079330444335938,1.1113977458415887,0.3150835931301117,"tensor(0.4907, device='cuda:0')",0.06867508700088365
34,34,0.8706987500190735,3.3911948204040527,2.6478703022003174,1.1113977458415887,0.31745877861976624,"tensor(0.5083, device='cuda:0')",0.06874991999939084
35,35,0.8033257722854614,3.405028820037842,2.627314805984497,1.1113977458415887,0.307992160320282,"tensor(0.4878, device='cuda:0')",0.07145903799755615
36,36,0.8187247514724731,3.393831729888916,2.605456829071045,1.1113977458415887,0.3214525580406189,"tensor(0.5015, device='cuda:0')",0.06968620900079259
37,37,0.8610586524009705,3.396109104156494,2.576427936553955,1.1113977458415887,0.32212352752685547,"tensor(0.5146, device='cuda:0')",0.07005409900011728
38,38,0.9291930198669434,3.4088473320007324,2.595754623413086,1.1113977458415887,0.31475260853767395,"tensor(0.5083, device='cuda:0')",0.07036928999878
39,39,0.858061671257019,3.3151841163635254,2.585937976837158,1.1113977458415887,0.31898728013038635,"tensor(0.5049, device='cuda:0')",0.06999763299972983
40,40,0.8542320728302002,3.344313144683838,2.6447598934173584,1.1113977458415887,0.30947059392929077,"tensor(0.4922, device='cuda:0')",0.06938765900122235
41,41,0.9569069743156433,3.271655559539795,2.611321449279785,1.1113977458415887,0.3115299642086029,"tensor(0.4932, device='cuda:0')",0.06978969400006463
42,42,0.8238126039505005,3.3174917697906494,2.613938808441162,1.1113977458415887,0.31963884830474854,"tensor(0.5098, device='cuda:0')",0.0700521580001805
43,43,0.8452857732772827,3.3003461360931396,2.6020121574401855,1.1113977458415887,0.30782806873321533,"tensor(0.4934, device='cuda:0')",0.07055974499962758
44,44,0.8320639133453369,3.374300479888916,2.584696054458618,1.1113977458415887,0.31879425048828125,"tensor(0.4941, device='cuda:0')",0.06997490299909259
45,45,0.769445538520813,3.3350045680999756,2.58417010307312,1.1113977458415887,0.3148774802684784,"tensor(0.4912, device='cuda:0')",0.06869623799866531
46,46,0.772606372833252,3.3070716857910156,2.6232986450195312,1.1113977458415887,0.32743629813194275,"tensor(0.5198, device='cuda:0')",0.06827724000322632
47,47,0.836014986038208,3.3136157989501953,2.578324556350708,1.1113977458415887,0.31813839077949524,"tensor(0.5132, device='cuda:0')",0.06960459100082517
48,48,0.8967030048370361,3.2873387336730957,2.609693765640259,1.1113977458415887,0.3190102279186249,"tensor(0.5151, device='cuda:0')",0.06847219400151516
49,49,0.8156851530075073,3.271855592727661,2.6133837699890137,1.1113977458415887,0.31467998027801514,"tensor(0.5042, device='cuda:0')",0.07092087500132038
50,50,0.8189940452575684,3.2484710216522217,2.622396945953369,1.1113977458415887,0.31059014797210693,"tensor(0.4902, device='cuda:0')",0.06915314399884664
51,51,0.7789775729179382,3.3280699253082275,2.592059373855591,1.1113977458415887,0.3184604048728943,"tensor(0.5093, device='cuda:0')",0.06895443499888643
52,52,0.8300324082374573,3.1922712326049805,2.641360282897949,1.1113977458415887,0.31252285838127136,"tensor(0.5046, device='cuda:0')",0.07026896299794316
53,53,0.7589327692985535,3.2430367469787598,2.564814567565918,1.1113977458415887,0.3219546377658844,"tensor(0.5178, device='cuda:0')",0.06832889699944644
54,54,0.8484610915184021,3.2051563262939453,2.5997121334075928,1.1113977458415887,0.3147231340408325,"tensor(0.5151, device='cuda:0')",0.06954874799703248
55,55,0.7952707409858704,3.1302669048309326,2.6212270259857178,1.1113977458415887,0.31003138422966003,"tensor(0.5154, device='cuda:0')",0.0689252949996444
56,56,0.7294062376022339,3.1897950172424316,2.5862181186676025,1.1113977458415887,0.3109356164932251,"tensor(0.5149, device='cuda:0')",0.0684584829978121
57,57,0.7638357281684875,3.182124137878418,2.5673084259033203,1.1113977458415887,0.31415218114852905,"tensor(0.4871, device='cuda:0')",0.06992791000084253
58,58,0.7436901330947876,3.2036032676696777,2.546367883682251,1.1113977458415887,0.3033285439014435,"tensor(0.4934, device='cuda:0')",0.06871885500004282
59,59,0.7102806568145752,3.1695079803466797,2.5523879528045654,1.1113977458415887,0.31273144483566284,"tensor(0.4995, device='cuda:0')",0.06906357700063381
60,60,0.7959640622138977,3.164616346359253,2.5179994106292725,1.1113977458415887,0.31754401326179504,"tensor(0.5056, device='cuda:0')",0.06892479000089224
61,61,0.6841328144073486,3.2090044021606445,2.5184669494628906,1.1113977458415887,0.3184942603111267,"tensor(0.5156, device='cuda:0')",0.06863606900151353
62,62,0.8315293788909912,3.1152777671813965,2.5335819721221924,1.1113977458415887,0.31507408618927,"tensor(0.5056, device='cuda:0')",0.06925839099858422
63,63,0.8737949132919312,3.053616523742676,2.5437979698181152,1.1113977458415887,0.30581384897232056,"tensor(0.4880, device='cuda:0')",0.0693956260001869
64,64,0.7748715877532959,3.1239967346191406,2.5221149921417236,1.1113977458415887,0.3078523576259613,"tensor(0.4946, device='cuda:0')",0.07004958700053976
65,65,0.8694416284561157,3.0669093132019043,2.578521966934204,1.1113977458415887,0.3073672354221344,"tensor(0.4866, device='cuda:0')",0.06991978400037624
66,66,0.8352066278457642,3.038970470428467,2.529703140258789,1.1113977458415887,0.31354665756225586,"tensor(0.5273, device='cuda:0')",0.06920099800117896
67,67,0.8064397573471069,3.032939910888672,2.526581048965454,1.1113977458415887,0.3089947998523712,"tensor(0.5063, device='cuda:0')",0.06924312399860355
68,68,0.7649149298667908,3.066957950592041,2.5373759269714355,1.1113977458415887,0.29902511835098267,"tensor(0.4893, device='cuda:0')",0.06871068800319335
69,69,0.8159995079040527,3.0435266494750977,2.6031558513641357,1.1113977458415887,0.31317320466041565,"tensor(0.5042, device='cuda:0')",0.06797132799692918
70,70,0.7868481278419495,3.0136094093322754,2.558532476425171,1.1113977458415887,0.30869415402412415,"tensor(0.5110, device='cuda:0')",0.06927602399809984
71,71,0.8394644856452942,3.0140888690948486,2.532315492630005,1.1113977458415887,0.31772205233573914,"tensor(0.5205, device='cuda:0')",0.06947435899928678
72,72,0.815822958946228,3.009465456008911,2.5242903232574463,1.1113977458415887,0.3047057092189789,"tensor(0.5063, device='cuda:0')",0.06858433999877889
73,73,0.8277645111083984,2.9816951751708984,2.5788893699645996,1.1113977458415887,0.2985519468784332,"tensor(0.4839, device='cuda:0')",0.06912514199939324
74,74,0.8379054069519043,2.9590396881103516,2.565977096557617,1.1113977458415887,0.30512481927871704,"tensor(0.4961, device='cuda:0')",0.068719005001185
75,75,0.8264850974082947,2.9547815322875977,2.5378940105438232,1.1113977458415887,0.30493393540382385,"tensor(0.5027, device='cuda:0')",0.06897351999941748
76,76,0.7985013723373413,2.902036428451538,2.5258846282958984,1.1113977458415887,0.31107595562934875,"tensor(0.5020, device='cuda:0')",0.06854842300163
77,77,0.7907707691192627,2.884295701980591,2.5840368270874023,1.1113977458415887,0.29894062876701355,"tensor(0.4954, device='cuda:0')",0.06869758000175352
78,78,0.8212306499481201,2.9139513969421387,2.532536506652832,1.1113977458415887,0.30977144837379456,"tensor(0.5049, device='cuda:0')",0.06880788299895357
79,79,0.7789199352264404,2.8872244358062744,2.567182779312134,1.1113977458415887,0.30036473274230957,"tensor(0.4890, device='cuda:0')",0.0696488399989903
80,80,0.7561849355697632,2.837409496307373,2.5103185176849365,1.1113977458415887,0.3036769926548004,"tensor(0.4988, device='cuda:0')",0.06962964400008786
81,81,0.7482675313949585,2.879204511642456,2.5321648120880127,1.1113977458415887,0.3016676902770996,"tensor(0.5042, device='cuda:0')",0.06908351600213791
82,82,0.8843681812286377,2.798017978668213,2.5584897994995117,1.1113977458415887,0.30442580580711365,"tensor(0.5000, device='cuda:0')",0.06852410000283271
83,83,0.6909856200218201,2.897590398788452,2.5255789756774902,1.1113977458415887,0.30630025267601013,"tensor(0.4976, device='cuda:0')",0.06862707400068757
84,84,0.6715613603591919,2.759239912033081,2.5060696601867676,1.1113977458415887,0.29692888259887695,"tensor(0.5078, device='cuda:0')",0.068472679999104
85,85,0.8096498847007751,2.794060707092285,2.604111433029175,1.1113977458415887,0.30533283948898315,"tensor(0.5066, device='cuda:0')",0.07949490299870376
86,86,0.6468675136566162,2.8501648902893066,2.4775893688201904,1.1113977458415887,0.30685746669769287,"tensor(0.5112, device='cuda:0')",0.06986824599880492
87,87,0.8694461584091187,2.7277162075042725,2.6369919776916504,1.1113977458415887,0.30007293820381165,"tensor(0.4927, device='cuda:0')",0.07045204299720353
88,88,0.8061389923095703,2.7612292766571045,2.4971072673797607,1.1113977458415887,0.2942759692668915,"tensor(0.5049, device='cuda:0')",0.070046459997684
89,89,0.8005030155181885,2.7532589435577393,2.5120179653167725,1.1113977458415887,0.29259949922561646,"tensor(0.4963, device='cuda:0')",0.06812853299925337
90,90,0.7653130888938904,2.68662166595459,2.5133137702941895,1.1113977458415887,0.29446327686309814,"tensor(0.4973, device='cuda:0')",0.06897709500117344
91,91,0.9040882587432861,2.6645665168762207,2.6239736080169678,1.1113977458415887,0.2899925410747528,"tensor(0.4995, device='cuda:0')",0.0678587559996231
92,92,0.8883458375930786,2.641940116882324,2.5252933502197266,1.1113977458415887,0.2928312122821808,"tensor(0.5020, device='cuda:0')",0.06838259999858565
93,93,0.7014980316162109,2.6755475997924805,2.485929012298584,1.1113977458415887,0.29903852939605713,"tensor(0.5164, device='cuda:0')",0.06887594599902513
94,94,0.8689074516296387,2.5768191814422607,2.5353076457977295,1.1113977458415887,0.2937769293785095,"tensor(0.4963, device='cuda:0')",0.06687988500198117
95,95,0.793450117111206,2.569345712661743,2.445828676223755,1.1113977458415887,0.2946290969848633,"tensor(0.4966, device='cuda:0')",0.06855811399873346
96,96,0.7977694869041443,2.5275936126708984,2.462543487548828,1.1113977458415887,0.2872072160243988,"tensor(0.5029, device='cuda:0')",0.06925977599894395
97,97,0.8606996536254883,2.545806884765625,2.4681408405303955,1.1113977458415887,0.28593116998672485,"tensor(0.4861, device='cuda:0')",0.06805260699911742
98,98,0.9113067984580994,2.3841452598571777,2.527120590209961,1.1113977458415887,0.29680371284484863,"tensor(0.5125, device='cuda:0')",0.06753191000098013
99,99,0.9180560111999512,2.358704090118408,2.5314106941223145,1.1113977458415887,0.2766769528388977,"tensor(0.4934, device='cuda:0')",0.0681874619986047
100,100,0.9242029190063477,2.431140899658203,2.487746238708496,1.1113977458415887,0.2722924053668976,"tensor(0.4861, device='cuda:0')",0.06834657600120408
101,101,0.7405577301979065,2.4390952587127686,2.450577974319458,1.1113977458415887,0.27163395285606384,"tensor(0.5007, device='cuda:0')",0.06759909900210914
102,102,0.9217853546142578,2.336946487426758,2.628979444503784,1.1113977458415887,0.26206228137016296,"tensor(0.5073, device='cuda:0')",0.0681942720002553
103,103,0.9383314847946167,2.407416582107544,2.618878126144409,1.1113977458415887,0.24976375699043274,"tensor(0.4937, device='cuda:0')",0.0675846280028054
104,104,0.875776469707489,2.3527660369873047,2.648759126663208,1.1113977458415887,0.2523851990699768,"tensor(0.4897, device='cuda:0')",0.06804236100288108
105,105,0.8388425707817078,2.3311896324157715,2.631060838699341,1.1113977458415887,0.2524001896381378,"tensor(0.5063, device='cuda:0')",0.06717163299981621
106,106,0.9068558216094971,2.2818422317504883,2.6149184703826904,1.1113977458415887,0.25040820240974426,"tensor(0.4993, device='cuda:0')",0.06728036500135204
107,107,0.8050756454467773,2.23543643951416,2.571439266204834,1.1113977458415887,0.2524752914905548,"tensor(0.4932, device='cuda:0')",0.06875892600146472
108,108,0.7705554962158203,2.2032763957977295,2.5497381687164307,1.1113977458415887,0.2538134753704071,"tensor(0.4871, device='cuda:0')",0.06866773499859846
109,109,0.963933527469635,2.1953320503234863,2.497208833694458,1.1113977458415887,0.26178231835365295,"tensor(0.5095, device='cuda:0')",0.06769857700055582
110,110,0.8969683647155762,2.1164042949676514,2.5004544258117676,1.1113977458415887,0.26865336298942566,"tensor(0.4973, device='cuda:0')",0.06750921999991988
111,111,0.8868441581726074,2.1449217796325684,2.455742597579956,1.1113977458415887,0.2621903121471405,"tensor(0.5027, device='cuda:0')",0.0677320119975775
112,112,0.7911390662193298,2.224681854248047,2.386911392211914,1.1113977458415887,0.27047866582870483,"tensor(0.5020, device='cuda:0')",0.06765929300308926
113,113,0.7952914237976074,2.239229440689087,2.4163472652435303,1.1113977458415887,0.26116931438446045,"tensor(0.4805, device='cuda:0')",0.06739714500145055
114,114,0.9425897598266602,2.164834499359131,2.4486169815063477,1.1113977458415887,0.26017481088638306,"tensor(0.4998, device='cuda:0')",0.0678695959977631
115,115,0.8659684658050537,2.139482259750366,2.4354701042175293,1.1113977458415887,0.26692041754722595,"tensor(0.5200, device='cuda:0')",0.06943374600086827
116,116,0.954369306564331,2.1473190784454346,2.4221818447113037,1.1113977458415887,0.2589280903339386,"tensor(0.5068, device='cuda:0')",0.0685249339985603
117,117,0.8252410888671875,2.1450259685516357,2.4377806186676025,1.1113977458415887,0.25248998403549194,"tensor(0.4917, device='cuda:0')",0.0679004689991416
118,118,1.0343281030654907,2.0878255367279053,2.5234971046447754,1.1113977458415887,0.24993105232715607,"tensor(0.5149, device='cuda:0')",0.0682653969997773
119,119,0.8310927748680115,2.170341968536377,2.50510573387146,1.1113977458415887,0.2403596043586731,"tensor(0.4978, device='cuda:0')",0.06821302200114587
120,120,0.8252403736114502,2.086106777191162,2.5695579051971436,1.1113977458415887,0.23351283371448517,"tensor(0.4912, device='cuda:0')",0.06787408500167658
121,121,0.794826865196228,2.058518409729004,2.5886759757995605,1.1113977458415887,0.24351665377616882,"tensor(0.4856, device='cuda:0')",0.06794550999984494
122,122,0.7515449523925781,2.0976743698120117,2.5663349628448486,1.1113977458415887,0.24467593431472778,"tensor(0.4956, device='cuda:0')",0.06845474600049783
123,123,0.9021939635276794,1.9157748222351074,2.600532054901123,1.1113977458415887,0.24589137732982635,"tensor(0.5127, device='cuda:0')",0.06741983000028995
